,Organism,Condition,Theta mean,Theta std
0,Acorn worm,No light,93.86703918049842,56.918308926471205
0,Akashiwo,Ambient light_Down,145.360311940398,51.047807543830714
0,Akashiwo,Ambient light_Up,40.64862808820759,29.154458084007132
0,Brittlestar,No light,104.22824721091021,40.651156544396535
0,Ceratium_sp_noFork,Ambient light,132.02200768937297,53.55642142487751
0,Dendraster,No light,69.8558862529995,57.0034990752581
0,Euglena,No light,162.34278351071046,15.925786545174986
0,Polychaete,Day,157.09708884315663,27.93840735345077
0,Polychate,Night,30.826512938379885,31.524237932778426
0,Sea cucumber,No light,70.51686111790866,48.214658585238574
0,Sea urchin,No light,145.32600927326152,41.39491246700234
0,Snail,No light,99.24875681390613,58.10857260971442
0,Starfish,No light,36.70367308382638,47.314521573199144
0,Stentor,No light,142.33362922845828,61.44557946734228
